Case;Atividade;Inicio;Fim;Tempo(s);;
812;Alimentacao de Maquina;20/01/2012 15:11:45;20/01/2012 15:11:55;10;;
812;Parada de curta duracao;20/01/2012 15:11:55;20/01/2012 15:12:59;64;;
813;Maquina trabalhando;20/01/2012 15:12:59;20/01/2012 15:13:40;41;;
813;Retirada do Produto;20/01/2012 15:13:40;20/01/2012 15:13:40;0;;
813;Alimentacao de Maquina;20/01/2012 15:13:40;20/01/2012 15:13:50;10;;
813;Parada de curta duracao;20/01/2012 15:13:50;20/01/2012 15:13:57;7;;
814;Maquina trabalhando;20/01/2012 15:13:57;20/01/2012 15:14:37;40;;
814;Retirada do Produto;20/01/2012 15:14:37;20/01/2012 15:14:37;0;;
814;Alimentacao de Maquina;20/01/2012 15:14:37;20/01/2012 15:14:47;10;;
814;Parada de curta duracao;20/01/2012 15:14:47;20/01/2012 15:14:53;6;;
815;Maquina trabalhando;20/01/2012 15:14:54;20/01/2012 15:15:35;41;;
815;Retirada do Produto;20/01/2012 15:15:35;20/01/2012 15:15:35;0;;
815;Alimentacao de Maquina;20/01/2012 15:15:35;20/01/2012 15:15:45;10;;
815;Parada de curta duracao;20/01/2012 15:15:45;20/01/2012 15:15:49;4;;
816;Maquina trabalhando;20/01/2012 15:15:49;20/01/2012 15:16:29;40;;
816;Retirada do Produto;20/01/2012 15:16:29;20/01/2012 15:16:29;0;;
816;Alimentacao de Maquina;20/01/2012 15:16:29;20/01/2012 15:16:39;10;;
816;Parada de curta duracao;20/01/2012 15:16:39;20/01/2012 15:16:50;11;;
817;Maquina trabalhando;20/01/2012 15:16:51;20/01/2012 15:17:32;41;;
817;Retirada do Produto;20/01/2012 15:17:32;20/01/2012 15:17:32;0;;
817;Alimentacao de Maquina;20/01/2012 15:17:32;20/01/2012 15:17:42;10;;
817;Parada de curta duracao;20/01/2012 15:17:42;20/01/2012 15:17:50;8;;
818;Maquina trabalhando;20/01/2012 15:17:51;20/01/2012 15:18:31;40;;
818;Retirada do Produto;20/01/2012 15:18:31;20/01/2012 15:18:31;0;;
818;Alimentacao de Maquina;20/01/2012 15:18:31;20/01/2012 15:18:41;10;;
818;Parada de curta duracao;20/01/2012 15:18:41;20/01/2012 15:18:45;4;;
819;Maquina trabalhando;20/01/2012 15:18:45;20/01/2012 15:19:26;41;;
819;Retirada do Produto;20/01/2012 15:19:26;20/01/2012 15:19:26;0;;
819;Alimentacao de Maquina;20/01/2012 15:19:26;20/01/2012 15:19:36;10;;
819;Parada de curta duracao;20/01/2012 15:19:36;20/01/2012 15:19:40;4;;
820;Maquina trabalhando;20/01/2012 15:19:40;20/01/2012 15:20:21;41;;
820;Retirada do Produto;20/01/2012 15:20:21;20/01/2012 15:20:21;0;;
820;Alimentacao de Maquina;20/01/2012 15:20:21;20/01/2012 15:20:31;10;;
820;Parada de curta duracao;20/01/2012 15:20:31;20/01/2012 15:20:36;5;;
821;Maquina trabalhando;20/01/2012 15:20:36;20/01/2012 15:21:17;41;;
821;Retirada do Produto;20/01/2012 15:21:17;20/01/2012 15:21:17;0;;
821;Alimentacao de Maquina;20/01/2012 15:21:17;20/01/2012 15:21:27;10;;
821;Parada de curta duracao;20/01/2012 15:21:27;20/01/2012 15:21:34;7;;
822;Maquina trabalhando;20/01/2012 15:21:34;20/01/2012 15:22:15;41;;
822;Retirada do Produto;20/01/2012 15:22:15;20/01/2012 15:22:15;0;;
822;Alimentacao de Maquina;20/01/2012 15:22:15;20/01/2012 15:22:25;10;;
822;Parada de curta duracao;20/01/2012 15:22:25;20/01/2012 15:22:35;10;;
823;Maquina trabalhando;20/01/2012 15:22:35;20/01/2012 15:23:16;41;;
823;Alimentacao de Maquina;20/01/2012 15:23:15;20/01/2012 15:23:25;10;;
823;Retirada do Produto;20/01/2012 15:23:16;20/01/2012 15:23:16;0;;
823;Parada de curta duracao;20/01/2012 15:23:25;20/01/2012 15:23:35;10;;
824;Maquina trabalhando;20/01/2012 15:23:35;20/01/2012 15:24:16;41;;
824;Retirada do Produto;20/01/2012 15:24:16;20/01/2012 15:24:16;0;;
824;Alimentacao de Maquina;20/01/2012 15:24:16;20/01/2012 15:24:26;10;;
824;Parada de curta duracao;20/01/2012 15:24:26;20/01/2012 15:24:29;3;;
825;Maquina trabalhando;20/01/2012 15:24:29;20/01/2012 15:25:09;40;;
825;Retirada do Produto;20/01/2012 15:25:09;20/01/2012 15:25:09;0;;
825;Alimentacao de Maquina;20/01/2012 15:25:09;20/01/2012 15:25:19;10;;
825;Parada de curta duracao;20/01/2012 15:25:19;20/01/2012 15:26:35;76;;
826;Maquina trabalhando;20/01/2012 15:26:35;20/01/2012 15:27:16;41;;
826;Alimentacao de Maquina;20/01/2012 15:27:15;20/01/2012 15:27:25;10;;
826;Retirada do Produto;20/01/2012 15:27:16;20/01/2012 15:27:16;0;;
826;Parada de curta duracao;20/01/2012 15:27:25;20/01/2012 15:28:10;45;;
827;Maquina trabalhando;20/01/2012 15:28:10;20/01/2012 15:28:51;41;;
827;Retirada do Produto;20/01/2012 15:28:51;20/01/2012 15:28:51;0;;
827;Alimentacao de Maquina;20/01/2012 15:28:51;20/01/2012 15:29:01;10;;
827;Parada de curta duracao;20/01/2012 15:29:01;20/01/2012 15:29:43;42;;
828;Maquina trabalhando;20/01/2012 15:29:43;20/01/2012 15:30:23;40;;
828;Alimentacao de Maquina;20/01/2012 15:30:23;20/01/2012 15:30:33;10;;
828;Retirada do Produto;20/01/2012 15:30:24;20/01/2012 15:30:24;0;;
828;Parada de curta duracao;20/01/2012 15:30:33;20/01/2012 15:30:36;3;;
829;Maquina trabalhando;20/01/2012 15:30:36;20/01/2012 15:31:18;42;;
829;Retirada do Produto;20/01/2012 15:31:18;20/01/2012 15:31:18;0;;
829;Alimentacao de Maquina;20/01/2012 15:31:18;20/01/2012 15:31:28;10;;
829;Parada de curta duracao;20/01/2012 15:31:28;20/01/2012 15:31:47;19;;
830;Maquina trabalhando;20/01/2012 15:31:47;20/01/2012 15:32:27;40;;
830;Retirada do Produto;20/01/2012 15:32:27;20/01/2012 15:32:27;0;;
830;Alimentacao de Maquina;20/01/2012 15:32:27;20/01/2012 15:32:37;10;;
830;Parada de curta duracao;20/01/2012 15:32:37;20/01/2012 15:33:14;37;;
831;Maquina trabalhando;20/01/2012 15:33:14;20/01/2012 15:33:55;41;;
831;Retirada do Produto;20/01/2012 15:33:55;20/01/2012 15:33:55;0;;
831;Alimentacao de Maquina;20/01/2012 15:33:55;20/01/2012 15:34:05;10;;
831;Parada de curta duracao;20/01/2012 15:34:05;20/01/2012 15:35:24;79;;
832;Maquina trabalhando;20/01/2012 15:35:24;20/01/2012 15:36:05;41;;
832;Retirada do Produto;20/01/2012 15:36:05;20/01/2012 15:36:05;0;;
832;Alimentacao de Maquina;20/01/2012 15:36:05;20/01/2012 15:36:15;10;;
832;Parada de curta duracao;20/01/2012 15:36:15;20/01/2012 15:36:21;6;;
833;Maquina trabalhando;20/01/2012 15:36:21;20/01/2012 15:37:01;40;;
833;Alimentacao de Maquina;20/01/2012 15:37:01;20/01/2012 15:37:11;10;;
833;Retirada do Produto;20/01/2012 15:37:02;20/01/2012 15:37:02;0;;
833;Parada de curta duracao;20/01/2012 15:37:11;20/01/2012 15:37:16;5;;
834;Maquina trabalhando;20/01/2012 15:37:16;20/01/2012 15:37:56;40;;
834;Retirada do Produto;20/01/2012 15:37:56;20/01/2012 15:37:56;0;;
834;Alimentacao de Maquina;20/01/2012 15:37:56;20/01/2012 15:38:06;10;;
834;Parada de curta duracao;20/01/2012 15:38:06;20/01/2012 15:38:23;17;;
835;Maquina trabalhando;20/01/2012 15:38:24;20/01/2012 15:39:04;40;;
835;Retirada do Produto;20/01/2012 15:39:04;20/01/2012 15:39:04;0;;
835;Alimentacao de Maquina;20/01/2012 15:39:04;20/01/2012 15:39:14;10;;
835;Parada de curta duracao;20/01/2012 15:39:14;20/01/2012 15:39:17;3;;
836;Maquina trabalhando;20/01/2012 15:39:17;20/01/2012 15:39:58;41;;
836;Retirada do Produto;20/01/2012 15:39:58;20/01/2012 15:39:58;0;;
836;Alimentacao de Maquina;20/01/2012 15:39:58;20/01/2012 15:40:08;10;;
836;Parada de curta duracao;20/01/2012 15:40:08;20/01/2012 15:40:13;5;;
837;Maquina trabalhando;20/01/2012 15:40:13;20/01/2012 15:40:54;41;;
837;Retirada do Produto;20/01/2012 15:40:54;20/01/2012 15:40:54;0;;
837;Alimentacao de Maquina;20/01/2012 15:40:54;20/01/2012 15:41:04;10;;
837;Parada de curta duracao;20/01/2012 15:41:04;20/01/2012 15:42:17;73;;
838;Maquina trabalhando;20/01/2012 15:42:17;20/01/2012 15:42:57;40;;
838;Alimentacao de Maquina;20/01/2012 15:42:57;20/01/2012 15:43:07;10;;
838;Retirada do Produto;20/01/2012 15:42:58;20/01/2012 15:42:58;0;;
838;Parada de curta duracao;20/01/2012 15:43:07;20/01/2012 15:43:27;20;;
839;Maquina trabalhando;20/01/2012 15:43:27;20/01/2012 15:44:07;40;;
839;Reajustes;20/01/2012 15:44:07;20/01/2012 15:46:41;154;;
839;Retirada do Produto;20/01/2012 15:44:08;20/01/2012 15:44:08;0;;
840;Maquina trabalhando;20/01/2012 15:46:43;20/01/2012 15:47:23;40;;
840;Alimentacao de Maquina;20/01/2012 15:47:23;20/01/2012 15:47:33;10;;
840;Retirada do Produto;20/01/2012 15:47:24;20/01/2012 15:47:24;0;;
840;Parada de curta duracao;20/01/2012 15:47:33;20/01/2012 15:48:05;32;;
841;Maquina trabalhando;20/01/2012 15:48:05;20/01/2012 15:48:45;40;;
841;Retirada do Produto;20/01/2012 15:48:45;20/01/2012 15:48:45;0;;
841;Alimentacao de Maquina;20/01/2012 15:48:45;20/01/2012 15:48:55;10;;
841;Parada de curta duracao;20/01/2012 15:48:55;20/01/2012 15:49:01;6;;
842;Maquina trabalhando;20/01/2012 15:49:02;20/01/2012 15:49:42;40;;
842;Retirada do Produto;20/01/2012 15:49:42;20/01/2012 15:49:42;0;;
842;Alimentacao de Maquina;20/01/2012 15:49:42;20/01/2012 15:49:52;10;;
842;Parada de curta duracao;20/01/2012 15:49:52;20/01/2012 15:50:53;61;;
843;Maquina trabalhando;20/01/2012 15:50:53;20/01/2012 15:51:34;41;;
843;Retirada do Produto;20/01/2012 15:51:34;20/01/2012 15:51:34;0;;
843;Conferencia de Kanban;20/01/2012 15:51:34;20/01/2012 15:53:33;119;;
844;Maquina trabalhando;20/01/2012 15:53:35;20/01/2012 15:54:15;40;;
844;Retirada do Produto;20/01/2012 15:54:15;20/01/2012 15:54:15;0;;
844;Alimentacao de Maquina;20/01/2012 15:54:15;20/01/2012 15:54:25;10;;
844;Parada de curta duracao;20/01/2012 15:54:25;20/01/2012 15:55:44;79;;
845;Maquina trabalhando;20/01/2012 15:55:44;20/01/2012 15:56:24;40;;
845;Retirada do Produto;20/01/2012 15:56:24;20/01/2012 15:56:24;0;;
845;Alimentacao de Maquina;20/01/2012 15:56:24;20/01/2012 15:56:34;10;;
845;Parada de curta duracao;20/01/2012 15:56:34;20/01/2012 15:56:47;13;;
846;Maquina trabalhando;20/01/2012 15:56:47;20/01/2012 15:57:27;40;;
846;Retirada do Produto;20/01/2012 15:57:27;20/01/2012 15:57:27;0;;
846;Alimentacao de Maquina;20/01/2012 15:57:27;20/01/2012 15:57:37;10;;
846;Parada de curta duracao;20/01/2012 15:57:37;20/01/2012 15:57:41;4;;
847;Maquina trabalhando;20/01/2012 15:57:42;20/01/2012 15:58:22;40;;
847;Retirada do Produto;20/01/2012 15:58:22;20/01/2012 15:58:22;0;;
847;Alimentacao de Maquina;20/01/2012 15:58:22;20/01/2012 15:58:32;10;;
847;Parada de curta duracao;20/01/2012 15:58:32;20/01/2012 15:58:42;10;;
848;Maquina trabalhando;20/01/2012 15:58:42;20/01/2012 15:59:22;40;;
848;Retirada do Produto;20/01/2012 15:59:22;20/01/2012 15:59:22;0;;
848;Desgaste de ferramenta;20/01/2012 15:59:22;20/01/2012 16:01:41;139;;
849;Maquina trabalhando;20/01/2012 16:01:43;20/01/2012 16:02:24;41;;
849;Retirada do Produto;20/01/2012 16:02:24;20/01/2012 16:02:24;0;;
849;Conferencia de Kanban;20/01/2012 16:02:24;20/01/2012 16:10:16;472;;
850;Maquina trabalhando;20/01/2012 16:10:40;20/01/2012 16:11:20;40;;
850;Retirada do Produto;20/01/2012 16:11:20;20/01/2012 16:11:20;0;;
850;Alimentacao de Maquina;20/01/2012 16:11:20;20/01/2012 16:11:30;10;;
850;Parada de curta duracao;20/01/2012 16:11:30;20/01/2012 16:11:54;24;;
851;Maquina trabalhando;20/01/2012 16:11:54;20/01/2012 16:12:34;40;;
851;Retirada do Produto;20/01/2012 16:12:34;20/01/2012 16:12:34;0;;
851;Alimentacao de Maquina;20/01/2012 16:12:34;20/01/2012 16:12:44;10;;
851;Parada de curta duracao;20/01/2012 16:12:44;20/01/2012 16:12:48;4;;
852;Maquina trabalhando;20/01/2012 16:12:48;20/01/2012 16:13:29;41;;
852;Retirada do Produto;20/01/2012 16:13:29;20/01/2012 16:13:29;0;;
852;Alimentacao de Maquina;20/01/2012 16:13:29;20/01/2012 16:13:39;10;;
852;Parada de curta duracao;20/01/2012 16:13:39;20/01/2012 16:13:44;5;;
853;Maquina trabalhando;20/01/2012 16:13:44;20/01/2012 16:14:24;40;;
853;Retirada do Produto;20/01/2012 16:14:24;20/01/2012 16:14:24;0;;
853;Alimentacao de Maquina;20/01/2012 16:14:24;20/01/2012 16:14:34;10;;
853;Parada de curta duracao;20/01/2012 16:14:34;20/01/2012 16:14:51;17;;
854;Maquina trabalhando;20/01/2012 16:14:51;20/01/2012 16:15:32;41;;
854;Retirada do Produto;20/01/2012 16:15:32;20/01/2012 16:15:32;0;;
854;Alimentacao de Maquina;20/01/2012 16:15:32;20/01/2012 16:15:42;10;;
854;Parada de curta duracao;20/01/2012 16:15:42;20/01/2012 16:15:56;14;;
855;Maquina trabalhando;20/01/2012 16:15:57;20/01/2012 16:16:37;40;;
855;Retirada do Produto;20/01/2012 16:16:37;20/01/2012 16:16:37;0;;
855;Alimentacao de Maquina;20/01/2012 16:16:37;20/01/2012 16:16:47;10;;
855;Parada de curta duracao;20/01/2012 16:16:47;20/01/2012 16:16:54;7;;
856;Maquina trabalhando;20/01/2012 16:16:54;20/01/2012 16:17:35;41;;
856;Retirada do Produto;20/01/2012 16:17:35;20/01/2012 16:17:35;0;;
856;Alimentacao de Maquina;20/01/2012 16:17:35;20/01/2012 16:17:45;10;;
856;Parada de curta duracao;20/01/2012 16:17:45;20/01/2012 16:17:50;5;;
857;Maquina trabalhando;20/01/2012 16:17:50;20/01/2012 16:18:31;41;;
857;Alimentacao de Maquina;20/01/2012 16:18:30;20/01/2012 16:18:40;10;;
857;Retirada do Produto;20/01/2012 16:18:31;20/01/2012 16:18:31;0;;
857;Parada de curta duracao;20/01/2012 16:18:40;20/01/2012 16:18:48;8;;
858;Maquina trabalhando;20/01/2012 16:18:48;20/01/2012 16:19:29;41;;
858;Retirada do Produto;20/01/2012 16:19:29;20/01/2012 16:19:29;0;;
858;Alimentacao de Maquina;20/01/2012 16:19:29;20/01/2012 16:19:39;10;;
858;Parada de curta duracao;20/01/2012 16:19:39;20/01/2012 16:19:45;6;;
859;Maquina trabalhando;20/01/2012 16:19:45;20/01/2012 16:20:26;41;;
859;Retirada do Produto;20/01/2012 16:20:26;20/01/2012 16:20:26;0;;
859;Alimentacao de Maquina;20/01/2012 16:20:26;20/01/2012 16:20:36;10;;
859;Parada de curta duracao;20/01/2012 16:20:36;20/01/2012 16:20:44;8;;
860;Maquina trabalhando;20/01/2012 16:20:44;20/01/2012 16:21:25;41;;
860;Retirada do Produto;20/01/2012 16:21:25;20/01/2012 16:21:25;0;;
860;Alimentacao de Maquina;20/01/2012 16:21:25;20/01/2012 16:21:35;10;;
860;Parada de curta duracao;20/01/2012 16:21:35;20/01/2012 16:21:41;6;;
861;Maquina trabalhando;20/01/2012 16:21:42;20/01/2012 16:22:22;40;;
861;Retirada do Produto;20/01/2012 16:22:22;20/01/2012 16:22:22;0;;
861;Alimentacao de Maquina;20/01/2012 16:22:22;20/01/2012 16:22:32;10;;
861;Parada de curta duracao;20/01/2012 16:22:32;20/01/2012 16:23:51;79;;
862;Maquina trabalhando;20/01/2012 16:23:52;20/01/2012 16:24:32;40;;
862;Retirada do Produto;20/01/2012 16:24:32;20/01/2012 16:24:32;0;;
862;Alimentacao de Maquina;20/01/2012 16:24:32;20/01/2012 16:24:42;10;;
862;Parada de curta duracao;20/01/2012 16:24:42;20/01/2012 16:24:48;6;;
863;Maquina trabalhando;20/01/2012 16:24:48;20/01/2012 16:25:28;40;;
863;Desgaste de ferramenta;20/01/2012 16:25:28;20/01/2012 16:28:31;183;;
863;Retirada do Produto;20/01/2012 16:25:29;20/01/2012 16:25:29;0;;
864;Maquina trabalhando;20/01/2012 16:28:33;20/01/2012 16:29:14;41;;
864;Retirada do Produto;20/01/2012 16:29:14;20/01/2012 16:29:14;0;;
864;Alimentacao de Maquina;20/01/2012 16:29:14;20/01/2012 16:29:24;10;;
864;Parada de curta duracao;20/01/2012 16:29:24;20/01/2012 16:29:28;4;;
865;Maquina trabalhando;20/01/2012 16:29:28;20/01/2012 16:30:09;41;;
865;Retirada do Produto;20/01/2012 16:30:09;20/01/2012 16:30:09;0;;
865;Alimentacao de Maquina;20/01/2012 16:30:09;20/01/2012 16:30:19;10;;
865;Parada de curta duracao;20/01/2012 16:30:19;20/01/2012 16:30:22;3;;
866;Maquina trabalhando;20/01/2012 16:30:23;20/01/2012 16:31:03;40;;
866;Retirada do Produto;20/01/2012 16:31:03;20/01/2012 16:31:03;0;;
866;Alimentacao de Maquina;20/01/2012 16:31:03;20/01/2012 16:31:13;10;;
866;Parada de curta duracao;20/01/2012 16:31:13;20/01/2012 16:31:34;21;;
867;Maquina trabalhando;20/01/2012 16:31:34;20/01/2012 16:32:14;40;;
867;Alimentacao de Maquina;20/01/2012 16:32:14;20/01/2012 16:32:24;10;;
867;Retirada do Produto;20/01/2012 16:32:15;20/01/2012 16:32:15;0;;
867;Parada de curta duracao;20/01/2012 16:32:24;20/01/2012 16:32:37;13;;
868;Maquina trabalhando;20/01/2012 16:32:37;20/01/2012 16:33:18;41;;
868;Retirada do Produto;20/01/2012 16:33:18;20/01/2012 16:33:18;0;;
868;Alimentacao de Maquina;20/01/2012 16:33:18;20/01/2012 16:33:28;10;;
868;Parada de curta duracao;20/01/2012 16:33:28;20/01/2012 16:33:32;4;;
869;Maquina trabalhando;20/01/2012 16:33:32;20/01/2012 16:34:13;41;;
869;Retirada do Produto;20/01/2012 16:34:13;20/01/2012 16:34:13;0;;
869;Alimentacao de Maquina;20/01/2012 16:34:13;20/01/2012 16:34:23;10;;
869;Parada de curta duracao;20/01/2012 16:34:23;20/01/2012 16:34:25;2;;
870;Maquina trabalhando;20/01/2012 16:34:25;20/01/2012 16:35:06;41;;
870;Retirada do Produto;20/01/2012 16:35:06;20/01/2012 16:35:06;0;;
870;Reajustes;20/01/2012 16:35:06;20/01/2012 16:37:18;132;;
871;Maquina trabalhando;20/01/2012 16:37:20;20/01/2012 16:38:02;42;;
871;Retirada do Produto;20/01/2012 16:38:02;20/01/2012 16:38:02;0;;
871;Alimentacao de Maquina;20/01/2012 16:38:02;20/01/2012 16:38:12;10;;
871;Parada de curta duracao;20/01/2012 16:38:12;20/01/2012 16:38:15;3;;
872;Maquina trabalhando;20/01/2012 16:38:15;20/01/2012 16:38:56;41;;
872;Retirada do Produto;20/01/2012 16:38:56;20/01/2012 16:38:56;0;;
872;Alimentacao de Maquina;20/01/2012 16:38:56;20/01/2012 16:39:06;10;;
872;Parada de curta duracao;20/01/2012 16:39:06;20/01/2012 16:39:12;6;;
873;Maquina trabalhando;20/01/2012 16:39:12;20/01/2012 16:39:53;41;;
873;Alimentacao de Maquina;20/01/2012 16:39:52;20/01/2012 16:40:02;10;;
873;Retirada do Produto;20/01/2012 16:39:53;20/01/2012 16:39:53;0;;
873;Parada de curta duracao;20/01/2012 16:40:02;20/01/2012 16:40:08;6;;
874;Maquina trabalhando;20/01/2012 16:40:08;20/01/2012 16:40:48;40;;
874;Retirada do Produto;20/01/2012 16:40:48;20/01/2012 16:40:48;0;;
874;Alimentacao de Maquina;20/01/2012 16:40:48;20/01/2012 16:40:58;10;;
874;Parada de curta duracao;20/01/2012 16:40:58;20/01/2012 16:41:03;5;;
875;Maquina trabalhando;20/01/2012 16:41:03;20/01/2012 16:41:43;40;;
875;Retirada do Produto;20/01/2012 16:41:43;20/01/2012 16:41:43;0;;
875;Alimentacao de Maquina;20/01/2012 16:41:43;20/01/2012 16:41:53;10;;
875;Parada de curta duracao;20/01/2012 16:41:53;20/01/2012 16:41:59;6;;
876;Maquina trabalhando;20/01/2012 16:42:00;20/01/2012 16:42:40;40;;
876;Retirada do Produto;20/01/2012 16:42:40;20/01/2012 16:42:40;0;;
876;Desgaste de ferramenta;20/01/2012 16:42:40;20/01/2012 17:01:55;1155;;
877;Maquina trabalhando;20/01/2012 17:02:43;20/01/2012 17:03:28;45;;
877;Retirada do Produto;20/01/2012 17:03:28;20/01/2012 17:03:28;0;;
877;Alimentacao de Maquina;20/01/2012 17:03:28;20/01/2012 17:03:38;10;;
877;Parada de curta duracao;20/01/2012 17:03:38;20/01/2012 17:04:20;42;;
878;Maquina trabalhando;20/01/2012 17:04:20;20/01/2012 17:05:03;43;;
878;Retirada do Produto;20/01/2012 17:05:03;20/01/2012 17:05:03;0;;
878;Alimentacao de Maquina;20/01/2012 17:05:03;20/01/2012 17:05:13;10;;
878;Parada de curta duracao;20/01/2012 17:05:13;20/01/2012 17:05:21;8;;
879;Maquina trabalhando;20/01/2012 17:05:21;20/01/2012 17:06:05;44;;
879;Retirada do Produto;20/01/2012 17:06:05;20/01/2012 17:06:05;0;;
879;Alimentacao de Maquina;20/01/2012 17:06:05;20/01/2012 17:06:15;10;;
879;Parada de curta duracao;20/01/2012 17:06:15;20/01/2012 17:06:26;11;;
880;Maquina trabalhando;20/01/2012 17:06:26;20/01/2012 17:07:10;44;;
880;Retirada do Produto;20/01/2012 17:07:10;20/01/2012 17:07:10;0;;
880;Alimentacao de Maquina;20/01/2012 17:07:10;20/01/2012 17:07:20;10;;
880;Parada de curta duracao;20/01/2012 17:07:20;20/01/2012 17:07:24;4;;
881;Maquina trabalhando;20/01/2012 17:07:24;20/01/2012 17:08:09;45;;
881;Retirada do Produto;20/01/2012 17:08:09;20/01/2012 17:08:09;0;;
881;Alimentacao de Maquina;20/01/2012 17:08:09;20/01/2012 17:08:19;10;;
881;Parada de curta duracao;20/01/2012 17:08:19;20/01/2012 17:08:24;5;;
882;Maquina trabalhando;20/01/2012 17:08:24;20/01/2012 17:09:07;43;;
882;Alimentacao de Maquina;20/01/2012 17:09:07;20/01/2012 17:09:17;10;;
882;Retirada do Produto;20/01/2012 17:09:08;20/01/2012 17:09:08;0;;
882;Parada de curta duracao;20/01/2012 17:09:17;20/01/2012 17:09:22;5;;
883;Maquina trabalhando;20/01/2012 17:09:23;20/01/2012 17:10:06;43;;
883;Retirada do Produto;20/01/2012 17:10:06;20/01/2012 17:10:06;0;;
883;Alimentacao de Maquina;20/01/2012 17:10:06;20/01/2012 17:10:16;10;;
883;Parada de curta duracao;20/01/2012 17:10:16;20/01/2012 17:10:23;7;;
884;Maquina trabalhando;20/01/2012 17:10:23;20/01/2012 17:11:08;45;;
884;Retirada do Produto;20/01/2012 17:11:08;20/01/2012 17:11:08;0;;
884;Alimentacao de Maquina;20/01/2012 17:11:08;20/01/2012 17:11:18;10;;
884;Parada de curta duracao;20/01/2012 17:11:18;20/01/2012 17:11:54;36;;
885;Maquina trabalhando;20/01/2012 17:11:54;20/01/2012 17:12:37;43;;
885;Alimentacao de Maquina;20/01/2012 17:12:37;20/01/2012 17:12:47;10;;
885;Retirada do Produto;20/01/2012 17:12:38;20/01/2012 17:12:38;0;;
885;Parada de curta duracao;20/01/2012 17:12:47;20/01/2012 17:12:53;6;;
886;Maquina trabalhando;20/01/2012 17:12:53;20/01/2012 17:13:36;43;;
886;Alimentacao de Maquina;20/01/2012 17:13:36;20/01/2012 17:13:46;10;;
886;Retirada do Produto;20/01/2012 17:13:37;20/01/2012 17:13:37;0;;
886;Parada de curta duracao;20/01/2012 17:13:46;20/01/2012 17:14:43;57;;
887;Maquina trabalhando;20/01/2012 17:14:43;20/01/2012 17:15:26;43;;
887;Alimentacao de Maquina;20/01/2012 17:15:26;20/01/2012 17:15:36;10;;
887;Retirada do Produto;20/01/2012 17:15:27;20/01/2012 17:15:27;0;;
887;Parada de curta duracao;20/01/2012 17:15:36;20/01/2012 17:15:58;22;;
888;Maquina trabalhando;20/01/2012 17:15:58;20/01/2012 17:16:42;44;;
888;Retirada do Produto;20/01/2012 17:16:42;20/01/2012 17:16:42;0;;
888;Alimentacao de Maquina;20/01/2012 17:16:42;20/01/2012 17:16:52;10;;
888;Parada de curta duracao;20/01/2012 17:16:52;20/01/2012 17:16:56;4;;
889;Maquina trabalhando;20/01/2012 17:16:56;20/01/2012 17:17:39;43;;
889;Alimentacao de Maquina;20/01/2012 17:17:39;20/01/2012 17:17:49;10;;
889;Retirada do Produto;20/01/2012 17:17:40;20/01/2012 17:17:40;0;;
889;Parada de curta duracao;20/01/2012 17:17:49;20/01/2012 17:18:02;13;;
890;Maquina trabalhando;20/01/2012 17:18:03;20/01/2012 17:18:47;44;;
890;Retirada do Produto;20/01/2012 17:18:47;20/01/2012 17:18:47;0;;
890;Alimentacao de Maquina;20/01/2012 17:18:47;20/01/2012 17:18:57;10;;
890;Parada de curta duracao;20/01/2012 17:18:57;20/01/2012 17:19:01;4;;
891;Maquina trabalhando;20/01/2012 17:19:01;20/01/2012 17:19:45;44;;
891;Retirada do Produto;20/01/2012 17:19:45;20/01/2012 17:19:45;0;;
891;Alimentacao de Maquina;20/01/2012 17:19:45;20/01/2012 17:19:55;10;;
891;Parada de curta duracao;20/01/2012 17:19:55;20/01/2012 17:20:00;5;;
892;Maquina trabalhando;20/01/2012 17:20:00;20/01/2012 17:20:44;44;;
892;Retirada do Produto;20/01/2012 17:20:44;20/01/2012 17:20:44;0;;
892;Alimentacao de Maquina;20/01/2012 17:20:44;20/01/2012 17:20:54;10;;
892;Parada de curta duracao;20/01/2012 17:20:54;20/01/2012 17:20:56;2;;
893;Maquina trabalhando;20/01/2012 17:20:56;20/01/2012 17:21:40;44;;
893;Retirada do Produto;20/01/2012 17:21:40;20/01/2012 17:21:40;0;;
893;Alimentacao de Maquina;20/01/2012 17:21:40;20/01/2012 17:21:50;10;;
893;Parada de curta duracao;20/01/2012 17:21:50;20/01/2012 17:21:53;3;;
894;Maquina trabalhando;20/01/2012 17:21:54;20/01/2012 17:22:37;43;;
894;Retirada do Produto;20/01/2012 17:22:37;20/01/2012 17:22:37;0;;
894;Alimentacao de Maquina;20/01/2012 17:22:37;20/01/2012 17:22:47;10;;
894;Parada de curta duracao;20/01/2012 17:22:47;20/01/2012 17:22:52;5;;
895;Maquina trabalhando;20/01/2012 17:22:52;20/01/2012 17:23:37;45;;
895;Retirada do Produto;20/01/2012 17:23:37;20/01/2012 17:23:37;0;;
895;Alimentacao de Maquina;20/01/2012 17:23:37;20/01/2012 17:23:47;10;;
895;Parada de curta duracao;20/01/2012 17:23:47;20/01/2012 17:24:09;22;;
896;Maquina trabalhando;20/01/2012 17:24:09;20/01/2012 17:24:52;43;;
896;Alimentacao de Maquina;20/01/2012 17:24:52;20/01/2012 17:25:02;10;;
896;Retirada do Produto;20/01/2012 17:24:53;20/01/2012 17:24:53;0;;
